rew,max,ep
[0.0],[0],[0.5]
[1.0],[2.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[1.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[1.0],[4.0],[0.5]
[1.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[1.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[0.0],[4.0],[0.5]
[1.0],[4.0],[0.4945244000000114]
[1.0],[4.0],[0.4886312000000237]
[0.0],[4.0],[0.48174800000003803]
[0.0],[4.0],[0.4755740000000509]
[0.0],[4.0],[0.4687718000000651]
[1.0],[4.0],[0.4626770000000778]
[0.0],[4.0],[0.45620780000009126]
[2.0],[4.0],[0.4498412000001045]
[0.0],[4.0],[0.4425692000001197]
[1.0],[4.0],[0.43596860000013343]
[0.0],[4.0],[0.4305992000001446]
[0.0],[4.0],[0.4240238000001583]
[0.0],[4.0],[0.4171676000001726]
[2.0],[4.0],[0.4091000000001894]
[2.0],[4.0],[0.40285040000020245]
[0.0],[4.0],[0.3971732000002143]
[2.0],[4.0],[0.391058600000227]
[1.0],[4.0],[0.3841610000002414]
[0.0],[4.0],[0.3779240000002544]
[0.0],[4.0],[0.37074380000026935]
[0.0],[4.0],[0.3637508000002839]
[1.0],[4.0],[0.3566174000002988]
[0.0],[4.0],[0.35020400000031215]
[0.0],[4.0],[0.3428384000003275]
[0.0],[4.0],[0.33605960000034163]
[1.0],[4.0],[0.32985140000035457]
[0.0],[4.0],[0.32438480000036596]
[0.0],[4.0],[0.31728740000038075]
[2.0],[4.0],[0.31004240000039585]
[0.0],[4.0],[0.30355520000040936]
[2.0],[4.0],[0.29704100000042294]
[0.0],[4.0],[0.2908814000004358]
[0.0],[4.0],[0.28370480000045073]
[0.0],[4.0],[0.2779682000004627]
[0.0],[4.0],[0.2707502000004777]
[0.0],[4.0],[0.26478860000049015]
