episode_R,Reward Evolution
0,26.0
1,29.0
2,20.0
3,26.0
4,20.0
5,27.0
6,13.0
7,10.0
8,13.0
9,17.0
10,50.0
11,17.0
12,18.0
13,21.0
14,21.0
15,9.0
16,13.0
17,21.0
18,9.0
19,15.0
20,8.0
21,15.0
22,12.0
23,15.0
24,11.0
25,11.0
26,11.0
27,12.0
28,13.0
29,14.0
30,13.0
31,9.0
32,10.0
33,13.0
34,14.0
35,15.0
36,13.0
37,31.0
38,27.0
39,16.0
40,27.0
41,20.0
42,15.0
43,16.0
44,18.0
45,25.0
46,14.0
47,27.0
48,24.0
49,31.0
50,34.0
51,33.0
52,31.0
53,22.0
54,9.0
55,22.0
56,34.0
57,13.0
58,26.0
59,11.0
60,60.0
61,17.0
62,16.0
63,12.0
64,30.0
65,29.0
66,39.0
67,23.0
68,39.0
69,25.0
70,40.0
71,44.0
72,28.0
73,46.0
74,13.0
75,32.0
76,29.0
77,14.0
78,24.0
79,46.0
80,23.0
81,22.0
82,92.0
83,22.0
84,11.0
85,35.0
86,82.0
87,105.0
88,12.0
89,8.0
90,25.0
91,51.0
92,79.0
93,44.0
94,37.0
95,9.0
96,11.0
97,50.0
98,47.0
99,9.0
100,112.0
101,29.0
102,64.0
103,25.0
104,22.0
105,24.0
106,42.0
107,74.0
108,39.0
109,56.0
110,65.0
111,31.0
112,48.0
113,29.0
114,27.0
115,41.0
116,51.0
117,31.0
118,21.0
119,72.0
120,31.0
121,46.0
122,57.0
123,82.0
124,52.0
125,28.0
126,362.0
127,148.0
128,38.0
129,52.0
130,44.0
131,59.0
132,309.0
133,59.0
134,24.0
135,84.0
136,17.0
137,39.0
138,113.0
139,68.0
140,48.0
141,26.0
142,52.0
143,97.0
144,37.0
145,29.0
146,50.0
147,73.0
148,205.0
149,56.0
150,123.0
151,127.0
152,150.0
153,213.0
154,111.0
155,47.0
156,175.0
157,46.0
158,37.0
159,54.0
160,119.0
161,64.0
162,38.0
163,67.0
164,352.0
165,33.0
166,54.0
167,46.0
168,55.0
169,57.0
170,83.0
171,38.0
172,34.0
173,32.0
174,96.0
175,79.0
176,146.0
177,195.0
178,60.0
179,125.0
180,57.0
181,63.0
182,156.0
183,133.0
184,75.0
185,131.0
186,69.0
187,37.0
188,55.0
189,70.0
190,111.0
191,90.0
192,50.0
193,110.0
194,51.0
195,55.0
196,49.0
197,58.0
198,47.0
199,132.0
200,54.0
201,184.0
202,85.0
203,64.0
204,29.0
205,117.0
206,42.0
207,148.0
208,44.0
209,65.0
210,99.0
211,44.0
212,50.0
213,127.0
214,44.0
215,90.0
216,111.0
217,85.0
218,68.0
219,44.0
220,43.0
221,77.0
222,43.0
223,59.0
224,48.0
225,47.0
226,77.0
227,81.0
228,73.0
229,79.0
230,49.0
231,49.0
232,59.0
233,37.0
234,140.0
235,39.0
236,44.0
237,74.0
238,45.0
239,30.0
240,55.0
241,64.0
242,44.0
243,46.0
244,73.0
245,48.0
246,104.0
247,74.0
248,77.0
249,64.0
250,101.0
251,94.0
252,40.0
253,101.0
254,70.0
255,75.0
256,78.0
257,91.0
258,51.0
259,62.0
260,76.0
261,56.0
262,61.0
263,60.0
264,46.0
265,59.0
266,70.0
267,56.0
268,80.0
269,85.0
270,89.0
271,71.0
272,40.0
273,149.0
274,26.0
275,79.0
276,51.0
277,55.0
278,41.0
279,27.0
280,31.0
281,34.0
282,41.0
283,91.0
284,59.0
285,74.0
286,40.0
287,78.0
288,117.0
289,40.0
290,49.0
291,75.0
292,84.0
293,44.0
294,39.0
295,59.0
296,69.0
297,63.0
298,42.0
299,55.0
