epoch,r2score,r2score2,r2score3,r2score4,r2score5,r2score6,r2score7,r2score8,r2score9,r2score10,r2score11,r2score12,r2score13,r2score14,r2score15,r2score16,r2score17,r2score18,r2score19
1,-0.7152603565041376,-0.5851683714121954,-0.5695196088421477,-0.5713432162707297,-0.6703912095716813,-0.5896147682451347,-0.590652549213383,-0.6307575983679068,-0.5842984844666155,-0.5589591059166985,-0.6345699627281982,-0.5899953355268543,-0.568535162252912,-0.6454644743054492,-0.5889457356692582,-0.6060415473685206,-0.6444825675658454,-0.7016564631066053,-0.5768550833277848
2,-0.590362421131174,-0.6769496404282638,-0.6184155912239284,-0.6382880432658116,-0.6476222800985325,-0.6277574254561955,-0.6725692248911492,-0.6438036061685162,-0.5958472730666646,-0.6358615642409797,-0.6255621176095518,-0.5464861104979011,-0.6735908738953553,-0.6320547386745001,-0.627082721541167,-0.6536480429591449,-0.6126743793675471,-0.6000399168223352,-0.6096216616279626
3,-0.6427311896078536,-0.49454610523488163,-0.6101255236888983,-0.6536346330018654,-0.6630614046151329,-0.6652520109497819,-0.6012027074979824,-0.5677200569050416,-0.5819171751382821,-0.6603958330602564,-0.5858756676921333,-0.6253333398174463,-0.5738308013023612,-0.5657941048006532,-0.6615352224348798,-0.6402147188427343,-0.5865910008706499,-0.5807200876723271,-0.561559252533032
4,-0.6841075570857895,-0.6121206239077284,-0.5940961986389006,-0.5453482049897325,-0.6240558921916719,-0.5765164229921003,-0.6630188197970943,-0.5834489472690325,-0.5704461621815173,-0.623264439746446,-0.5324528635602925,-0.5167862121380566,-0.4913211867943781,-0.6304330225863561,-0.6005831160705764,-0.5927102953912711,-0.5729430584308628,-0.6000278956103089,-0.6233684148536216
5,-0.589626264311319,-0.5853125523919873,-0.6036736992265306,-0.5389276056400671,-0.5158736729868092,-0.5394683883826681,-0.5665031745846851,-0.5624218601272295,-0.527752010375838,-0.6087928382851377,-0.5197151592202762,-0.6061835388588892,-0.611766775456934,-0.6883229728173654,-0.47617931397217816,-0.5461928923556116,-0.6812339736423776,-0.5592930395910398,-0.5808396337790791
6,-0.5595340796973309,-0.6301596655865362,-0.5491732287812616,-0.6263272383750971,-0.6141011936793734,-0.5180573870341127,-0.5265413439644702,-0.5875509473902127,-0.5443045810830802,-0.6695974512343017,-0.44690612629048565,-0.4966489618569456,-0.5703935407562615,-0.5300142775402215,-0.5975767944633887,-0.44339858304637825,-0.5105880303232648,-0.562571831816501,-0.5729199343525868
7,-0.5165175688143717,-0.5739457934373153,-0.4698725474648382,-0.46175911895667276,-0.5221585267408366,-0.5626529547187049,-0.5770012098969033,-0.4611487141785815,-0.5448157258797044,-0.5909881225311471,-0.584121864295128,-0.5960435616488096,-0.6393967791647739,-0.39803092236629656,-0.49104654704406436,-0.5126415678845129,-0.48034865996059795,-0.5020031797117259,-0.6082515728069435
8,-0.47256151958526127,-0.5556966375366394,-0.5557503704375217,-0.4973240110605177,-0.6367811996886175,-0.5105101213264531,-0.5835853265035391,-0.6024145751183281,-0.5202152283362522,-0.5242493151578222,-0.5752276203523266,-0.48649420540426735,-0.5602413658914542,-0.46341841926055416,-0.45626470024588506,-0.446726848564702,-0.6269537981006339,-0.5238080365445372,-0.42434053812984196
9,-0.41372579623880834,-0.46180366088080826,-0.4388253026784652,-0.5155517483229848,-0.5880484499692269,-0.5553813714003113,-0.4663654495033194,-0.5343822149009874,-0.5168540959132437,-0.5030954197920912,-0.5056815983589942,-0.5599111308667541,-0.5070049856152765,-0.29068474843737535,-0.4584608896293969,-0.40873280942169665,-0.3629601570654024,-0.540391132906787,-0.35774550537492944
10,-0.47184564678933416,-0.5205036187706389,-0.4589210453707322,-0.4282966616104278,-0.44029520976260894,-0.4622190056704003,-0.5138563825966196,-0.5176352354873799,-0.430589503807399,-0.39703555398812607,-0.5048084557128918,-0.5149435302450938,-0.4837001056486554,-0.435901140969859,-0.5549965653808899,-0.4906600652769775,-0.550849482506006,-0.48010116195186314,-0.44569919523562507
