epoch,r2score,r2score2,r2score3,r2score4,r2score5,r2score6,r2score7,r2score8,r2score9,r2score10,r2score11,r2score12,r2score13,r2score14,r2score15,r2score16,r2score17,r2score18,r2score19
0,-0.6186640730753703,-0.7420474023105077,-0.4526640377675948,-0.5309350851084511,-0.5973354828608504,-0.6102966441865936,-0.4990434347441275,-0.5675414688706126,-0.6092660833541732,-0.6130336562613012,-0.6196285742229768,-0.6789694926735763,-0.5547432286271674,-0.6735227657836045,-0.7197751298809769,-0.5569784688249719,-0.6540271757765739,-0.5935181773813292,-0.5822504864560891
1,-0.6119605599551063,-0.7269820786710144,-0.4277754713198618,-0.5209632593374678,-0.5890065748784168,-0.6013684193041653,-0.47686979282145825,-0.5635593570832982,-0.6024527281568592,-0.5986862048467534,-0.6162158633527759,-0.6741900111850829,-0.5300233958360083,-0.6536511061777353,-0.7033479309550288,-0.5425046908243503,-0.6465248069152183,-0.578430614799448,-0.5772397854122129
2,-0.6066709242363588,-0.7128257623517609,-0.4015990228112458,-0.511276559909287,-0.5801367904126069,-0.5925749585321036,-0.4541816490120003,-0.5598390662624138,-0.597358339868763,-0.5817031401771551,-0.6135722688411422,-0.6700901562972787,-0.5049996465753441,-0.6352735418873243,-0.6890121209980569,-0.5267611999132413,-0.6404860112319823,-0.564693511646633,-0.5714044073927682
3,-0.6027531802046149,-0.6993086417155707,-0.3740288932515048,-0.5016105423812813,-0.5703684953405048,-0.5836410850763429,-0.4305988817684476,-0.5561118437436394,-0.5933645507991832,-0.5618323844711202,-0.6114356380296493,-0.6664221617070867,-0.4793904066782537,-0.6193000491905185,-0.6767879498651708,-0.5095662689086686,-0.6354799443934196,-0.5518643843588271,-0.5648152048277617
4,-0.5997548746532129,-0.6860402888396804,-0.34479759808945376,-0.49159773720278155,-0.5590683142807236,-0.5744928201825639,-0.40554554475289706,-0.5521823969124604,-0.5899165429040187,-0.5389393472392843,-0.6095412341525397,-0.6629075488133533,-0.4525838541774716,-0.6089189637392667,-0.6663770064365371,-0.4907728277734924,-0.6310688591477724,-0.5394384211404664,-0.557472300123939
5,-0.5972899168246757,-0.672805985187102,-0.31367861759651694,-0.48104781561657384,-0.5459155848526331,-0.5648937463804982,-0.37850117383718307,-0.5478449458023247,-0.5865551307050945,-0.5128383294375369,-0.6077437195155384,-0.6590758605057425,-0.42410482298930785,-0.6001280096888941,-0.6570127219966857,-0.47024763850733886,-0.6265837391888183,-0.5271738922854514,-0.5493933370983306
6,-0.5952134895154901,-0.6591980804168474,-0.28050422092770133,-0.4698048468934739,-0.5309042568923996,-0.5542914572183255,-0.3490169381750621,-0.5425520410433238,-0.5829243021761885,-0.48333021274014243,-0.6059848781772155,-0.6545737081839611,-0.39368747420828343,-0.590716784861143,-0.6480011723111825,-0.4479131243833947,-0.6214393077748903,-0.5150682905462278,-0.540552046285723
7,-0.5933932946761289,-0.6453007497880612,-0.2450796620404807,-0.45774949476046367,-0.5140328268974936,-0.5422282095906121,-0.3169555455009283,-0.535804222834573,-0.5788133612919384,-0.4507497612709961,-0.6042511056359643,-0.6491945997034889,-0.3611062339154347,-0.5805276595871505,-0.6387691800336412,-0.42376382537286705,-0.615332258162357,-0.5032203062622624,-0.5309130622235785
8,-0.5917203289021438,-0.6313380866318317,-0.207177945571277,-0.4447606525797658,-0.4953707699123606,-0.5284859297777418,-0.28217570287873883,-0.5272359490093814,-0.5740451989659037,-0.4150731702642567,-0.6025699304959449,-0.6428179911264618,-0.326251447489462,-0.5696176375316837,-0.6290317043565474,-0.39776185472718173,-0.6080400610643371,-0.49133110826961346,-0.5204334525775822
9,-0.5900848093414572,-0.6176640404214886,-0.16655033248010365,-0.4307643364804079,-0.47468360586308544,-0.5128042277578464,-0.24459596743851253,-0.5170035920364113,-0.5684470071720451,-0.3763814237850944,-0.6009440576537153,-0.6357187879930257,-0.2890513331183431,-0.5578331746087917,-0.6187154490676585,-0.36978247395386843,-0.5994831118038095,-0.47883627703616605,-0.5090601465039168
10,-0.5884447092983216,-0.6041255196149744,-0.12289881467527919,-0.41569772577253006,-0.45182652778663424,-0.4951528685436837,-0.20408161009553138,-0.5053169931317176,-0.56186280474476,-0.33445389923597446,-0.5993255427055568,-0.6280219337068278,-0.24946714942952997,-0.5450171683543992,-0.6077720454450877,-0.33975384354587557,-0.5895286274026537,-0.4653102073785529,-0.49671586399857737
11,-0.586771002329763,-0.589912818630266,-0.07622760951730423,-0.39948925354490705,-0.42654429204371613,-0.4754841817673967,-0.16061987891665508,-0.49238308381586826,-0.5542244697671905,-0.2890693591059268,-0.5976942066131921,-0.6197937746750046,-0.20751108956061914,-0.531082957203191,-0.5960317351241011,-0.3075655542366891,-0.5781916501553674,-0.45053400704624735,-0.48332562038874083
12,-0.5850419857233571,-0.5744154208748626,-0.026699636424321938,-0.3820648463029146,-0.398639161223749,-0.4538332665430349,-0.11411872401861944,-0.478283501627748,-0.5454005189702886,-0.2400338738689638,-0.5960491511448343,-0.6109760971546747,-0.16320424739943418,-0.5160445612094691,-0.5833420382699386,-0.2731071198435906,-0.565472058997766,-0.43432333896601705,-0.4687928856746182
13,-0.5832345984936895,-0.5572665278714761,0.025519224409968677,-0.3633470355009689,-0.36788646272377323,-0.43020421816421783,-0.06469026985982196,-0.4630546446348429,-0.5352554274958676,-0.18712860819615473,-0.5943959107415275,-0.6014342971595683,-0.11661600447806797,-0.49992334666191396,-0.5695817079643819,-0.23621531438601973,-0.5512998866887602,-0.4165382819307557,-0.45305150976453756
14,-0.5813191875912433,-0.5380089404153987,0.08018796739760214,-0.34326407854441654,-0.3341578055737857,-0.40448218208752684,-0.012496166960066502,-0.4466180515468141,-0.523494044812669,-0.13054072691746788,-0.5927388570419352,-0.5909925641665172,-0.06788421898191821,-0.482656337509233,-0.5547032916675805,-0.19668188165997558,-0.5356228863393091,-0.3970364573819134,-0.4360301672877127
15,-0.5792524653199997,-0.5163179389073218,0.13698336775040354,-0.3217147681417398,-0.2971658720236785,-0.37651577267140013,0.04214855559624209,-0.4289664404402034,-0.5098736992817585,-0.07088578634625664,-0.5910827025464711,-0.5795545040520149,-0.017203882144796845,-0.464148542718569,-0.5386228177113759,-0.1542723440333016,-0.5184469821346906,-0.37566795056117197,-0.4176353044312424
16,-0.5769606068850768,-0.49195808036179733,0.19548131450663342,-0.2986141770688917,-0.25618088700311903,-0.34626936308818146,0.09885743650773005,-0.409942032881373,-0.4940800168372801,-0.008427900137921052,-0.5894287348782468,-0.5670038821121695,0.03518991262399851,-0.4442413025295848,-0.5212393703603753,-0.10857976717315099,-0.4997690195589277,-0.3522878853017599,-0.3977947860920563
17,-0.5743729907798993,-0.4646716225760732,0.2551146436767975,-0.27386159551321776,-0.21030480704854915,-0.3135928742267955,0.15710270732948406,-0.3895840532015893,-0.47565916503760386,0.05638849514972133,-0.5877777100215289,-0.5532114275160296,0.08895754855381866,-0.4226200807091438,-0.5023962734410627,-0.058739788139889004,-0.47950677023112864,-0.3267327440755847,-0.37647181521008344
18,-0.5712922812733989,-0.43417829830521026,0.3151826259281397,-0.24734776541438763,-0.160393296452914,-0.2784398580740095,0.21607420457923077,-0.36779875216219815,-0.4539232062362606,0.1229314419334705,-0.5861285414337429,-0.5380763182977981,0.14370617647435224,-0.3987531926998642,-0.48197857726767146,-0.004296482243289157,-0.4575938927148584,-0.29888140008725217,-0.35354685363404714
19,-0.5675812815110117,-0.40022034180968347,0.37479525032567207,-0.21902805076592147,-0.1067586361697781,-0.24070165519039688,0.27491602451536246,-0.3444700288362428,-0.42792625796799566,0.19032566073241508,-0.5844780020142368,-0.5214905037638777,0.1989556730253752,-0.37217488365164186,-0.4598166478884822,0.054229778175552634,-0.43396466682370205,-0.26858537761386914,-0.32893956910276767
