episode_R,Reward Evolution
0,19.0
1,16.0
2,24.0
3,15.0
4,15.0
5,25.0
6,55.0
7,43.0
8,15.0
9,23.0
10,10.0
11,13.0
12,13.0
13,20.0
14,16.0
15,11.0
16,12.0
17,17.0
18,13.0
19,10.0
20,13.0
21,13.0
22,13.0
23,16.0
24,24.0
25,8.0
26,15.0
27,13.0
28,9.0
29,21.0
30,12.0
31,17.0
32,23.0
33,13.0
34,11.0
35,13.0
36,25.0
37,25.0
38,10.0
39,15.0
40,10.0
41,23.0
42,10.0
43,110.0
44,94.0
45,64.0
46,40.0
47,58.0
48,106.0
49,22.0
50,34.0
51,43.0
52,121.0
53,40.0
54,25.0
55,44.0
56,61.0
57,42.0
58,21.0
59,66.0
60,10.0
61,38.0
62,54.0
63,10.0
64,63.0
65,63.0
66,26.0
67,49.0
68,24.0
69,43.0
70,88.0
71,69.0
72,35.0
73,57.0
74,9.0
75,93.0
76,48.0
77,91.0
78,27.0
79,11.0
80,58.0
81,34.0
82,58.0
83,9.0
84,69.0
85,42.0
86,10.0
87,10.0
88,32.0
89,61.0
90,57.0
91,48.0
92,14.0
93,33.0
94,12.0
95,101.0
96,57.0
97,42.0
98,46.0
99,9.0
100,38.0
101,48.0
102,104.0
103,39.0
104,61.0
105,52.0
106,71.0
107,81.0
108,52.0
109,42.0
110,51.0
111,74.0
112,45.0
113,64.0
114,63.0
115,45.0
116,27.0
117,48.0
118,65.0
119,58.0
120,117.0
121,66.0
122,75.0
123,25.0
124,92.0
125,57.0
126,44.0
127,34.0
128,49.0
129,48.0
130,18.0
131,41.0
132,42.0
133,52.0
134,78.0
135,57.0
136,67.0
137,44.0
138,111.0
139,81.0
140,62.0
141,78.0
142,27.0
143,30.0
144,33.0
145,32.0
146,79.0
147,52.0
148,84.0
149,73.0
150,58.0
151,50.0
152,60.0
153,75.0
154,39.0
155,36.0
156,24.0
157,38.0
158,61.0
159,67.0
160,62.0
161,43.0
162,40.0
163,139.0
164,83.0
165,57.0
166,42.0
167,98.0
168,108.0
169,66.0
170,67.0
171,140.0
172,105.0
173,75.0
174,140.0
175,51.0
176,89.0
177,56.0
178,124.0
179,59.0
180,43.0
181,52.0
182,53.0
183,54.0
184,68.0
185,31.0
186,112.0
187,119.0
188,32.0
189,45.0
190,49.0
191,45.0
192,51.0
193,56.0
194,59.0
195,100.0
196,81.0
197,112.0
198,60.0
199,51.0
200,47.0
201,101.0
202,29.0
203,85.0
204,49.0
205,73.0
206,52.0
207,61.0
208,10.0
209,22.0
210,61.0
211,37.0
212,140.0
213,50.0
214,12.0
215,49.0
216,32.0
217,56.0
218,100.0
219,31.0
220,48.0
221,51.0
222,39.0
223,47.0
224,165.0
225,44.0
226,29.0
227,74.0
228,39.0
229,54.0
230,20.0
231,52.0
232,34.0
233,40.0
234,30.0
235,40.0
236,20.0
237,47.0
238,70.0
239,39.0
240,94.0
241,81.0
242,90.0
243,32.0
244,112.0
245,35.0
246,33.0
247,41.0
248,50.0
249,94.0
250,108.0
251,51.0
252,38.0
253,47.0
254,54.0
255,99.0
256,117.0
257,69.0
258,94.0
259,145.0
260,41.0
261,121.0
262,108.0
263,112.0
264,46.0
265,129.0
266,146.0
267,39.0
268,43.0
269,119.0
270,62.0
271,53.0
272,41.0
273,94.0
274,132.0
275,38.0
276,36.0
277,71.0
278,126.0
279,94.0
280,31.0
281,38.0
282,144.0
283,65.0
284,114.0
285,49.0
286,43.0
287,75.0
288,66.0
289,38.0
290,40.0
291,140.0
292,44.0
293,57.0
294,54.0
295,104.0
296,37.0
297,62.0
298,34.0
299,57.0
300,42.0
301,40.0
302,144.0
303,38.0
304,105.0
305,37.0
306,34.0
307,64.0
308,48.0
309,115.0
310,40.0
311,115.0
312,118.0
313,92.0
314,32.0
315,48.0
316,53.0
317,102.0
318,121.0
319,117.0
320,138.0
321,128.0
322,110.0
323,127.0
324,43.0
325,144.0
326,63.0
327,128.0
328,30.0
329,55.0
330,74.0
331,128.0
332,153.0
333,77.0
334,38.0
335,36.0
336,47.0
337,148.0
338,38.0
339,86.0
340,31.0
341,122.0
342,87.0
343,34.0
344,48.0
345,64.0
346,80.0
347,145.0
348,31.0
349,48.0
