episode_R,Reward Evolution
0,16.0
1,18.0
2,12.0
3,27.0
4,16.0
5,12.0
6,13.0
7,38.0
8,9.0
9,18.0
10,21.0
11,52.0
12,17.0
13,10.0
14,9.0
15,11.0
16,35.0
17,10.0
18,12.0
19,21.0
20,10.0
21,22.0
22,31.0
23,36.0
24,18.0
25,18.0
26,27.0
27,16.0
28,21.0
29,43.0
30,17.0
31,42.0
32,11.0
33,14.0
34,13.0
35,10.0
36,14.0
37,15.0
38,28.0
39,12.0
40,21.0
41,12.0
42,19.0
43,17.0
44,13.0
45,10.0
46,20.0
47,15.0
48,11.0
49,61.0
50,17.0
51,10.0
52,14.0
53,21.0
54,12.0
55,11.0
56,40.0
57,30.0
58,12.0
59,19.0
60,48.0
61,29.0
62,11.0
63,15.0
64,18.0
65,10.0
66,21.0
67,10.0
68,11.0
69,32.0
70,29.0
71,10.0
72,29.0
73,12.0
74,24.0
75,10.0
76,27.0
77,21.0
78,25.0
79,17.0
80,22.0
81,21.0
82,45.0
83,24.0
84,14.0
85,18.0
86,31.0
87,52.0
88,38.0
89,37.0
90,13.0
91,16.0
92,10.0
93,34.0
94,17.0
95,13.0
96,14.0
97,27.0
98,19.0
99,10.0
100,11.0
101,17.0
102,11.0
103,21.0
104,16.0
105,26.0
106,18.0
107,44.0
108,21.0
109,12.0
110,22.0
111,38.0
112,9.0
113,20.0
114,12.0
115,21.0
116,17.0
117,19.0
118,15.0
119,17.0
120,28.0
121,10.0
122,16.0
123,16.0
124,22.0
125,12.0
126,29.0
127,38.0
128,17.0
129,11.0
130,13.0
131,11.0
132,18.0
133,14.0
134,24.0
135,29.0
136,14.0
137,23.0
138,43.0
139,23.0
140,11.0
141,12.0
142,18.0
143,18.0
144,30.0
145,35.0
146,12.0
147,23.0
148,17.0
149,34.0
150,45.0
151,11.0
152,11.0
153,25.0
154,13.0
155,32.0
156,16.0
157,20.0
158,41.0
159,43.0
160,12.0
161,12.0
162,14.0
163,26.0
164,18.0
165,22.0
166,9.0
167,35.0
168,41.0
169,24.0
170,53.0
171,18.0
172,15.0
173,22.0
174,11.0
175,12.0
176,15.0
177,22.0
178,12.0
179,20.0
180,54.0
181,11.0
182,22.0
183,34.0
184,16.0
185,32.0
186,40.0
187,13.0
188,12.0
189,17.0
190,14.0
191,49.0
192,11.0
193,13.0
194,18.0
195,10.0
196,10.0
197,17.0
198,15.0
199,33.0
200,24.0
201,16.0
202,11.0
203,20.0
204,13.0
205,29.0
206,30.0
207,19.0
208,18.0
209,18.0
210,16.0
211,20.0
212,25.0
213,18.0
214,12.0
215,31.0
216,9.0
217,21.0
218,15.0
219,24.0
220,25.0
221,11.0
222,28.0
223,14.0
224,18.0
225,18.0
226,29.0
227,12.0
228,19.0
229,8.0
230,29.0
231,46.0
232,12.0
233,11.0
234,20.0
235,12.0
236,13.0
237,48.0
238,27.0
239,22.0
240,16.0
241,20.0
242,22.0
243,23.0
244,21.0
245,12.0
246,18.0
247,11.0
248,10.0
249,16.0
250,10.0
251,12.0
252,12.0
253,19.0
254,10.0
255,27.0
256,11.0
257,18.0
258,56.0
259,14.0
260,14.0
261,13.0
262,24.0
263,36.0
264,18.0
265,22.0
266,21.0
267,18.0
268,62.0
269,17.0
270,10.0
271,14.0
272,24.0
273,10.0
274,45.0
275,18.0
276,16.0
277,22.0
