episode_R,Reward Evolution
0,29.0
1,35.0
2,13.0
3,13.0
4,20.0
5,45.0
6,11.0
7,14.0
8,13.0
9,15.0
10,43.0
11,10.0
12,26.0
13,13.0
14,18.0
15,10.0
16,44.0
17,15.0
18,17.0
19,38.0
20,21.0
21,18.0
22,14.0
23,22.0
24,26.0
25,17.0
26,26.0
27,19.0
28,43.0
29,18.0
30,17.0
31,13.0
32,18.0
33,10.0
34,27.0
35,28.0
36,24.0
37,11.0
38,30.0
39,12.0
40,61.0
41,28.0
42,9.0
43,14.0
44,23.0
45,20.0
46,13.0
47,36.0
48,15.0
49,23.0
50,11.0
51,54.0
52,46.0
53,20.0
54,27.0
55,17.0
56,52.0
57,20.0
58,35.0
59,18.0
60,22.0
61,15.0
62,40.0
63,54.0
64,17.0
65,23.0
66,16.0
67,14.0
68,15.0
69,34.0
70,15.0
71,36.0
72,31.0
73,18.0
74,27.0
75,22.0
76,11.0
77,26.0
78,17.0
79,19.0
80,40.0
81,37.0
82,28.0
83,12.0
84,28.0
85,18.0
86,24.0
87,21.0
88,20.0
89,15.0
90,36.0
91,17.0
92,15.0
93,11.0
94,10.0
95,36.0
96,20.0
97,13.0
98,13.0
99,14.0
100,29.0
101,29.0
102,19.0
103,12.0
104,12.0
105,17.0
106,44.0
107,25.0
108,28.0
109,10.0
110,20.0
111,47.0
112,32.0
113,21.0
114,14.0
115,45.0
116,30.0
117,49.0
118,34.0
119,30.0
120,16.0
121,22.0
122,12.0
123,19.0
124,11.0
125,20.0
126,42.0
127,67.0
128,14.0
129,44.0
130,18.0
131,16.0
132,19.0
133,34.0
134,42.0
135,22.0
136,21.0
137,26.0
138,25.0
139,24.0
140,29.0
141,20.0
142,18.0
143,20.0
144,43.0
145,11.0
146,11.0
147,40.0
148,24.0
149,45.0
150,12.0
151,11.0
152,24.0
153,35.0
154,25.0
155,10.0
156,30.0
157,23.0
158,11.0
159,17.0
160,31.0
161,19.0
162,14.0
163,13.0
164,18.0
165,36.0
166,18.0
167,74.0
168,22.0
169,14.0
170,12.0
171,41.0
172,23.0
173,25.0
174,27.0
175,25.0
176,41.0
177,26.0
178,25.0
179,31.0
180,31.0
181,53.0
182,20.0
183,45.0
184,27.0
185,41.0
186,13.0
187,28.0
188,29.0
189,33.0
190,12.0
191,25.0
192,21.0
193,28.0
194,36.0
195,19.0
196,74.0
197,19.0
198,39.0
199,19.0
200,31.0
201,19.0
202,14.0
203,33.0
204,25.0
205,37.0
206,45.0
207,35.0
208,20.0
209,13.0
210,39.0
211,28.0
212,24.0
213,37.0
214,22.0
215,16.0
216,21.0
217,13.0
218,21.0
219,21.0
220,37.0
221,27.0
222,19.0
223,16.0
224,17.0
225,29.0
226,27.0
227,25.0
228,11.0
229,22.0
230,20.0
231,15.0
232,32.0
233,14.0
234,17.0
235,40.0
236,17.0
237,25.0
238,39.0
239,25.0
240,22.0
241,18.0
242,36.0
243,17.0
244,81.0
245,18.0
246,16.0
247,27.0
248,35.0
249,9.0
250,43.0
251,46.0
252,34.0
253,58.0
254,14.0
255,19.0
256,30.0
257,33.0
258,65.0
259,17.0
260,13.0
261,28.0
262,32.0
263,21.0
264,31.0
265,13.0
266,20.0
267,31.0
268,25.0
269,35.0
270,34.0
271,17.0
272,56.0
273,39.0
274,25.0
275,10.0
276,16.0
277,32.0
278,13.0
279,91.0
280,28.0
281,46.0
282,21.0
283,18.0
284,41.0
285,58.0
286,13.0
