episode_R,Reward Evolution
0,20.0
1,15.0
2,10.0
3,16.0
4,35.0
5,19.0
6,32.0
7,23.0
8,39.0
9,12.0
10,15.0
11,28.0
12,36.0
13,14.0
14,11.0
15,22.0
16,36.0
17,39.0
18,22.0
19,15.0
20,42.0
21,19.0
22,14.0
23,10.0
24,25.0
25,29.0
26,20.0
27,16.0
28,46.0
29,11.0
30,38.0
31,18.0
32,30.0
33,17.0
34,11.0
35,21.0
36,52.0
37,52.0
38,10.0
39,22.0
40,39.0
41,22.0
42,14.0
43,27.0
44,59.0
45,37.0
46,23.0
47,20.0
48,28.0
49,23.0
50,21.0
51,14.0
52,44.0
53,16.0
54,15.0
55,28.0
56,12.0
57,13.0
58,28.0
59,20.0
60,11.0
61,17.0
62,12.0
63,12.0
64,19.0
65,14.0
66,45.0
67,22.0
68,16.0
69,21.0
70,21.0
71,22.0
72,13.0
73,11.0
74,16.0
75,12.0
76,23.0
77,35.0
78,20.0
79,28.0
80,14.0
81,19.0
82,12.0
83,21.0
84,16.0
85,11.0
86,24.0
87,20.0
88,18.0
89,18.0
90,14.0
91,29.0
92,12.0
93,30.0
94,23.0
95,12.0
96,9.0
97,25.0
98,23.0
99,15.0
100,14.0
101,27.0
102,22.0
103,22.0
104,14.0
105,11.0
106,34.0
107,18.0
108,16.0
109,13.0
110,65.0
111,19.0
112,9.0
113,53.0
114,40.0
115,19.0
116,19.0
117,14.0
118,13.0
119,18.0
120,24.0
121,17.0
122,32.0
123,17.0
124,26.0
125,26.0
126,21.0
127,22.0
128,11.0
129,16.0
130,22.0
131,55.0
132,34.0
133,26.0
134,9.0
135,36.0
136,70.0
137,16.0
138,14.0
139,15.0
140,19.0
141,32.0
142,25.0
143,16.0
144,45.0
145,12.0
146,14.0
147,23.0
148,12.0
149,20.0
150,21.0
151,45.0
152,23.0
153,16.0
154,19.0
155,23.0
156,34.0
157,10.0
158,12.0
159,17.0
160,20.0
161,13.0
162,58.0
163,18.0
164,52.0
165,33.0
166,13.0
167,20.0
168,10.0
169,15.0
170,55.0
171,51.0
172,32.0
173,72.0
174,29.0
175,24.0
176,13.0
177,12.0
178,17.0
179,26.0
180,13.0
181,16.0
182,12.0
183,11.0
184,22.0
185,19.0
186,16.0
187,17.0
188,29.0
189,24.0
190,17.0
191,12.0
192,18.0
193,27.0
194,21.0
195,41.0
196,29.0
197,19.0
198,17.0
199,15.0
200,18.0
201,17.0
202,40.0
203,21.0
204,32.0
205,13.0
206,16.0
207,18.0
208,20.0
209,13.0
210,13.0
211,44.0
212,18.0
213,32.0
214,23.0
215,49.0
216,48.0
217,21.0
218,13.0
219,18.0
220,9.0
221,51.0
222,18.0
223,11.0
224,12.0
225,24.0
226,13.0
227,36.0
228,17.0
229,33.0
230,26.0
231,65.0
232,12.0
233,61.0
234,34.0
235,26.0
236,41.0
237,14.0
238,14.0
239,25.0
240,20.0
241,24.0
242,26.0
243,19.0
244,18.0
245,12.0
246,17.0
247,28.0
248,18.0
249,14.0
250,15.0
251,17.0
252,14.0
253,21.0
254,12.0
255,31.0
256,12.0
257,15.0
258,31.0
259,11.0
260,44.0
261,12.0
262,13.0
263,28.0
264,16.0
265,25.0
266,24.0
267,17.0
268,13.0
269,23.0
270,14.0
271,15.0
272,16.0
273,65.0
274,28.0
275,20.0
276,40.0
277,17.0
278,17.0
279,15.0
280,49.0
281,12.0
282,31.0
283,36.0
284,17.0
285,47.0
286,15.0
287,36.0
288,18.0
289,11.0
290,19.0
291,15.0
292,10.0
293,19.0
294,22.0
295,17.0
296,38.0
297,8.0
298,23.0
299,72.0
300,24.0
301,16.0
302,23.0
303,34.0
304,17.0
305,26.0
306,26.0
307,11.0
308,15.0
309,16.0
310,15.0
311,24.0
312,46.0
313,22.0
314,65.0
315,31.0
316,13.0
317,43.0
318,14.0
319,12.0
320,21.0
321,19.0
322,26.0
323,18.0
324,30.0
325,30.0
326,17.0
327,34.0
328,17.0
329,15.0
330,42.0
331,60.0
332,24.0
333,25.0
334,13.0
335,21.0
336,18.0
337,31.0
338,36.0
339,13.0
340,22.0
341,11.0
342,18.0
343,31.0
344,33.0
345,20.0
346,11.0
347,16.0
348,20.0
349,90.0
350,21.0
351,11.0
352,42.0
353,33.0
354,15.0
355,38.0
356,20.0
357,15.0
358,26.0
359,23.0
360,16.0
361,42.0
362,18.0
363,18.0
364,14.0
365,19.0
366,19.0
367,46.0
368,12.0
369,18.0
370,19.0
371,67.0
372,14.0
373,40.0
374,44.0
375,9.0
376,15.0
377,18.0
378,11.0
379,16.0
380,20.0
381,26.0
382,16.0
383,12.0
384,73.0
385,56.0
386,24.0
387,28.0
388,10.0
389,47.0
390,35.0
391,11.0
392,10.0
393,23.0
394,29.0
395,11.0
396,29.0
397,14.0
398,24.0
399,23.0
400,11.0
401,47.0
402,33.0
403,34.0
404,16.0
405,34.0
406,30.0
407,15.0
408,20.0
409,29.0
410,21.0
411,23.0
412,18.0
413,16.0
414,31.0
415,27.0
416,29.0
417,51.0
418,44.0
419,10.0
420,62.0
421,32.0
422,12.0
423,16.0
424,12.0
425,21.0
426,16.0
427,11.0
428,29.0
429,21.0
430,21.0
431,44.0
432,11.0
433,35.0
434,14.0
435,28.0
436,47.0
437,19.0
438,15.0
439,12.0
440,10.0
441,18.0
442,18.0
443,15.0
444,28.0
445,26.0
446,51.0
447,29.0
448,25.0
449,14.0
450,42.0
451,17.0
452,19.0
453,14.0
454,14.0
455,25.0
456,41.0
457,13.0
458,13.0
459,21.0
460,31.0
461,22.0
462,16.0
463,74.0
464,12.0
465,24.0
466,19.0
467,22.0
468,97.0
469,15.0
470,13.0
471,23.0
472,25.0
473,15.0
474,10.0
475,11.0
476,33.0
477,16.0
478,13.0
479,45.0
480,22.0
481,11.0
482,15.0
483,17.0
484,12.0
485,9.0
486,15.0
487,17.0
488,13.0
489,20.0
490,10.0
491,13.0
492,25.0
493,21.0
494,14.0
495,33.0
496,20.0
497,31.0
498,13.0
499,22.0
500,17.0
501,30.0
502,35.0
503,22.0
504,52.0
505,14.0
506,14.0
507,18.0
508,19.0
509,30.0
510,10.0
511,49.0
512,14.0
513,16.0
514,13.0
515,68.0
516,10.0
517,16.0
518,16.0
519,52.0
520,21.0
521,15.0
522,12.0
523,53.0
524,23.0
525,18.0
526,21.0
527,27.0
528,30.0
529,15.0
530,19.0
531,30.0
532,38.0
533,14.0
534,47.0
535,18.0
536,60.0
537,35.0
538,15.0
539,23.0
540,12.0
541,13.0
542,64.0
543,36.0
544,14.0
545,10.0
546,30.0
547,31.0
548,12.0
549,30.0
550,11.0
551,11.0
552,17.0
553,15.0
554,52.0
555,22.0
556,13.0
557,87.0
558,16.0
559,36.0
560,20.0
561,19.0
562,15.0
563,16.0
564,18.0
565,61.0
566,25.0
567,13.0
568,51.0
569,14.0
570,24.0
571,43.0
572,43.0
573,11.0
574,15.0
575,28.0
576,16.0
577,35.0
578,11.0
579,56.0
580,34.0
581,40.0
582,22.0
583,18.0
584,46.0
585,53.0
586,12.0
587,14.0
588,21.0
589,12.0
590,21.0
591,32.0
592,9.0
593,22.0
594,28.0
595,64.0
596,12.0
597,13.0
598,13.0
599,18.0
600,18.0
601,48.0
602,19.0
603,16.0
604,94.0
605,28.0
606,23.0
607,32.0
608,14.0
609,20.0
610,76.0
611,14.0
612,25.0
613,15.0
614,12.0
615,23.0
616,21.0
617,37.0
618,34.0
619,19.0
620,11.0
621,40.0
622,38.0
623,15.0
624,30.0
625,61.0
626,22.0
627,22.0
628,19.0
629,24.0
630,14.0
631,38.0
632,14.0
633,19.0
634,56.0
635,47.0
636,21.0
637,18.0
638,44.0
639,13.0
640,18.0
641,15.0
642,13.0
643,17.0
644,23.0
645,16.0
646,29.0
647,15.0
648,14.0
649,13.0
650,15.0
651,34.0
652,14.0
653,14.0
654,10.0
655,14.0
656,31.0
657,13.0
658,36.0
659,21.0
660,17.0
661,24.0
662,41.0
663,16.0
664,28.0
665,33.0
666,12.0
667,11.0
668,34.0
669,50.0
670,17.0
671,15.0
672,42.0
673,23.0
674,34.0
675,17.0
676,19.0
677,35.0
678,14.0
679,19.0
680,12.0
681,18.0
682,24.0
683,46.0
684,18.0
685,15.0
686,17.0
687,27.0
688,38.0
689,29.0
690,14.0
691,16.0
692,58.0
693,28.0
694,31.0
695,11.0
696,19.0
697,23.0
698,26.0
699,10.0
700,53.0
701,32.0
702,9.0
703,14.0
704,18.0
705,28.0
706,15.0
707,26.0
708,88.0
709,15.0
710,33.0
711,28.0
712,14.0
713,13.0
714,47.0
715,26.0
716,22.0
717,18.0
718,12.0
719,42.0
720,10.0
721,39.0
722,22.0
723,29.0
724,26.0
725,19.0
726,30.0
727,28.0
728,20.0
729,23.0
730,42.0
731,14.0
732,43.0
733,16.0
734,17.0
735,28.0
736,19.0
737,22.0
738,20.0
739,80.0
740,22.0
741,23.0
742,61.0
743,20.0
744,19.0
745,24.0
746,16.0
747,10.0
748,20.0
749,24.0
750,19.0
751,11.0
752,20.0
753,22.0
754,15.0
755,16.0
756,18.0
757,21.0
758,24.0
759,16.0
760,54.0
761,19.0
762,13.0
763,11.0
764,22.0
765,33.0
766,22.0
767,24.0
768,69.0
769,26.0
770,30.0
771,24.0
772,22.0
773,53.0
774,44.0
775,75.0
776,31.0
777,68.0
778,30.0
779,22.0
780,18.0
781,28.0
782,18.0
783,19.0
784,24.0
785,22.0
786,26.0
787,37.0
788,33.0
789,34.0
790,15.0
791,21.0
792,15.0
793,23.0
794,10.0
795,31.0
796,17.0
797,33.0
798,33.0
799,15.0
800,20.0
801,13.0
802,21.0
803,18.0
804,17.0
805,22.0
806,11.0
807,40.0
808,105.0
809,15.0
810,27.0
811,26.0
812,23.0
813,16.0
814,23.0
815,19.0
816,12.0
817,18.0
818,32.0
819,20.0
820,54.0
821,11.0
822,27.0
823,18.0
824,20.0
825,11.0
826,17.0
827,32.0
828,27.0
829,34.0
830,24.0
831,13.0
832,12.0
833,11.0
834,60.0
835,10.0
836,57.0
837,29.0
838,30.0
839,15.0
840,13.0
841,17.0
842,26.0
843,14.0
844,12.0
845,23.0
846,27.0
847,17.0
848,23.0
849,12.0
850,26.0
851,17.0
852,11.0
853,79.0
854,24.0
855,18.0
856,12.0
857,21.0
858,12.0
859,28.0
860,16.0
861,23.0
862,15.0
863,18.0
864,16.0
865,13.0
866,13.0
867,43.0
868,20.0
869,45.0
870,13.0
871,42.0
872,24.0
873,70.0
874,22.0
875,17.0
876,10.0
877,32.0
878,17.0
879,12.0
880,13.0
881,77.0
882,14.0
883,30.0
884,26.0
885,44.0
886,17.0
887,14.0
888,16.0
889,12.0
890,23.0
891,11.0
892,17.0
893,13.0
894,28.0
895,20.0
896,11.0
897,27.0
898,18.0
899,12.0
900,16.0
901,13.0
902,27.0
903,10.0
904,11.0
905,13.0
906,22.0
907,14.0
908,32.0
909,15.0
910,29.0
911,15.0
912,10.0
913,58.0
914,59.0
915,19.0
916,23.0
917,50.0
918,32.0
919,11.0
920,52.0
921,21.0
922,14.0
923,34.0
924,46.0
925,76.0
926,19.0
927,18.0
928,45.0
929,13.0
930,35.0
931,13.0
932,61.0
933,26.0
934,10.0
935,23.0
936,17.0
937,19.0
938,20.0
939,13.0
940,20.0
941,17.0
942,28.0
943,13.0
944,17.0
945,36.0
946,11.0
947,18.0
948,46.0
949,13.0
950,27.0
951,20.0
952,42.0
953,8.0
954,74.0
955,20.0
956,16.0
957,54.0
958,19.0
959,12.0
960,10.0
961,40.0
962,19.0
963,89.0
964,21.0
965,16.0
966,22.0
967,15.0
968,25.0
969,16.0
970,19.0
971,46.0
972,11.0
973,33.0
974,22.0
975,26.0
976,33.0
977,25.0
978,13.0
979,17.0
980,19.0
981,72.0
982,15.0
983,14.0
984,16.0
985,14.0
986,41.0
987,15.0
988,14.0
989,13.0
990,83.0
991,22.0
992,27.0
993,17.0
994,13.0
995,40.0
996,83.0
997,21.0
998,23.0
