episode_R,Reward Evolution
0,23.0
1,19.0
2,34.0
3,27.0
4,18.0
5,59.0
6,16.0
7,30.0
8,30.0
9,11.0
10,17.0
11,27.0
12,59.0
13,38.0
14,15.0
15,20.0
16,15.0
17,12.0
18,36.0
19,17.0
20,28.0
21,10.0
22,25.0
23,24.0
24,8.0
25,22.0
26,11.0
27,11.0
28,26.0
29,14.0
30,40.0
31,22.0
32,21.0
33,16.0
34,25.0
35,21.0
36,26.0
37,36.0
38,23.0
39,59.0
40,18.0
41,28.0
42,16.0
43,30.0
44,13.0
45,23.0
46,13.0
47,18.0
48,10.0
49,24.0
50,23.0
51,14.0
52,16.0
53,41.0
54,40.0
55,22.0
56,15.0
57,58.0
58,34.0
59,24.0
60,31.0
61,28.0
62,14.0
63,16.0
64,13.0
65,27.0
66,39.0
67,33.0
68,20.0
69,33.0
70,30.0
71,20.0
72,65.0
73,16.0
74,11.0
75,14.0
76,12.0
77,25.0
78,41.0
79,15.0
80,18.0
81,13.0
82,29.0
83,19.0
84,11.0
85,37.0
86,18.0
87,28.0
88,36.0
89,26.0
90,14.0
91,36.0
92,18.0
93,17.0
94,42.0
95,39.0
96,35.0
97,50.0
98,9.0
99,17.0
100,35.0
101,18.0
102,16.0
103,47.0
104,35.0
105,22.0
106,36.0
107,16.0
108,61.0
109,36.0
110,18.0
111,31.0
112,16.0
113,9.0
114,22.0
115,14.0
116,21.0
117,19.0
118,21.0
119,29.0
120,13.0
121,39.0
122,20.0
123,21.0
124,67.0
125,46.0
126,17.0
127,31.0
128,25.0
129,15.0
130,19.0
131,23.0
132,20.0
133,47.0
134,20.0
135,27.0
136,24.0
137,49.0
138,18.0
139,33.0
140,44.0
141,36.0
142,22.0
143,16.0
144,15.0
145,29.0
146,46.0
147,10.0
148,41.0
149,10.0
150,26.0
151,15.0
152,15.0
153,28.0
154,62.0
155,66.0
156,22.0
157,16.0
158,37.0
159,94.0
160,33.0
161,48.0
162,41.0
163,72.0
164,41.0
165,30.0
166,27.0
167,17.0
168,21.0
169,19.0
170,17.0
171,48.0
172,15.0
173,9.0
174,24.0
175,53.0
176,19.0
177,44.0
178,21.0
179,20.0
180,17.0
181,17.0
182,13.0
183,28.0
184,20.0
185,43.0
186,16.0
187,21.0
188,17.0
189,19.0
190,29.0
191,14.0
192,42.0
193,24.0
194,58.0
195,18.0
196,47.0
197,14.0
198,12.0
199,27.0
200,34.0
201,14.0
202,49.0
203,42.0
204,25.0
205,47.0
206,26.0
207,62.0
208,72.0
209,39.0
210,14.0
211,15.0
212,34.0
213,13.0
214,11.0
215,45.0
216,38.0
217,21.0
218,16.0
219,11.0
220,52.0
221,14.0
222,16.0
223,11.0
224,30.0
225,21.0
226,26.0
227,14.0
228,33.0
229,64.0
230,27.0
231,18.0
232,15.0
233,24.0
234,12.0
235,30.0
236,13.0
237,18.0
238,22.0
239,23.0
240,52.0
241,95.0
242,18.0
243,14.0
244,21.0
245,22.0
246,14.0
247,40.0
248,17.0
249,25.0
250,14.0
251,29.0
252,18.0
253,57.0
254,34.0
255,18.0
256,66.0
257,60.0
258,31.0
259,42.0
260,30.0
261,30.0
262,18.0
263,27.0
264,13.0
265,55.0
266,55.0
267,9.0
268,10.0
269,73.0
270,12.0
271,28.0
272,23.0
273,27.0
274,18.0
275,34.0
276,29.0
277,21.0
278,17.0
279,72.0
280,36.0
281,42.0
282,61.0
283,62.0
284,14.0
285,29.0
286,40.0
287,16.0
288,17.0
289,145.0
290,27.0
291,27.0
292,33.0
293,18.0
294,25.0
295,27.0
296,35.0
297,53.0
298,36.0
299,27.0
300,14.0
301,44.0
302,33.0
303,13.0
304,32.0
305,40.0
306,25.0
307,32.0
308,34.0
309,47.0
310,24.0
311,26.0
312,21.0
313,52.0
314,31.0
315,22.0
316,56.0
317,56.0
318,58.0
319,18.0
320,17.0
321,18.0
322,24.0
323,21.0
324,22.0
325,14.0
326,15.0
327,24.0
328,50.0
329,21.0
330,14.0
331,42.0
332,41.0
333,106.0
334,35.0
335,57.0
336,25.0
337,20.0
338,24.0
339,19.0
340,46.0
341,73.0
342,46.0
343,59.0
344,14.0
345,16.0
346,32.0
347,49.0
348,29.0
349,24.0
350,69.0
351,21.0
352,46.0
353,17.0
354,24.0
355,71.0
356,34.0
357,18.0
358,14.0
359,15.0
360,65.0
361,33.0
362,45.0
363,70.0
364,61.0
365,35.0
366,50.0
367,18.0
368,24.0
369,42.0
370,31.0
371,18.0
372,34.0
373,23.0
374,29.0
375,14.0
376,87.0
377,44.0
378,21.0
379,29.0
380,133.0
381,15.0
382,22.0
383,38.0
384,38.0
385,25.0
386,40.0
387,67.0
388,33.0
389,134.0
390,22.0
391,58.0
392,35.0
393,49.0
394,87.0
395,67.0
396,30.0
397,17.0
398,19.0
399,52.0
400,17.0
401,19.0
402,19.0
403,74.0
404,61.0
405,45.0
406,27.0
407,25.0
408,16.0
409,11.0
410,40.0
411,23.0
412,29.0
413,71.0
414,31.0
415,54.0
416,26.0
417,50.0
418,33.0
419,25.0
420,20.0
421,52.0
422,65.0
423,77.0
424,14.0
425,20.0
426,21.0
427,35.0
428,16.0
429,82.0
430,66.0
431,61.0
432,55.0
433,27.0
434,35.0
435,29.0
436,41.0
437,32.0
438,50.0
439,21.0
440,41.0
441,45.0
442,43.0
443,28.0
444,11.0
445,56.0
446,26.0
447,31.0
448,46.0
449,56.0
450,37.0
451,50.0
452,37.0
453,10.0
454,64.0
455,58.0
456,14.0
457,19.0
458,40.0
459,40.0
460,15.0
461,66.0
462,56.0
463,11.0
464,20.0
465,66.0
466,33.0
467,70.0
468,36.0
469,27.0
470,55.0
471,39.0
472,47.0
473,26.0
474,91.0
475,52.0
476,125.0
477,62.0
478,95.0
479,65.0
480,17.0
481,25.0
482,20.0
483,95.0
484,26.0
485,31.0
486,18.0
487,24.0
488,45.0
489,38.0
490,37.0
491,19.0
492,27.0
493,35.0
494,75.0
495,25.0
496,19.0
497,23.0
498,18.0
499,14.0
500,81.0
501,49.0
502,18.0
503,48.0
504,18.0
505,67.0
506,43.0
507,14.0
508,28.0
509,43.0
510,50.0
511,14.0
512,42.0
513,54.0
514,10.0
515,9.0
516,103.0
517,37.0
518,71.0
519,21.0
520,124.0
521,28.0
522,14.0
523,12.0
524,24.0
525,12.0
526,21.0
527,18.0
528,66.0
529,64.0
530,16.0
531,69.0
532,29.0
533,57.0
534,24.0
535,50.0
536,74.0
537,72.0
538,62.0
539,24.0
540,66.0
541,46.0
542,22.0
543,70.0
544,72.0
545,17.0
546,66.0
547,20.0
548,68.0
549,75.0
550,80.0
551,71.0
552,76.0
553,38.0
554,14.0
555,77.0
556,105.0
557,18.0
558,189.0
559,35.0
560,129.0
561,61.0
562,102.0
563,52.0
564,17.0
565,14.0
566,72.0
567,17.0
