epsiode_R,Reward Evolution
1,30.0
2,17.0
3,38.0
4,31.0
5,11.0
6,24.0
7,11.0
8,38.0
9,20.0
10,10.0
11,15.0
12,18.0
13,17.0
14,16.0
15,11.0
16,10.0
17,28.0
18,15.0
19,20.0
20,16.0
21,14.0
22,13.0
23,19.0
24,18.0
25,17.0
26,25.0
27,20.0
28,16.0
29,11.0
30,40.0
31,51.0
32,30.0
33,15.0
34,64.0
35,31.0
36,11.0
37,39.0
38,19.0
39,15.0
40,9.0
41,13.0
42,17.0
43,14.0
44,64.0
45,15.0
46,27.0
47,27.0
48,30.0
49,14.0
50,44.0
51,32.0
52,26.0
53,16.0
54,43.0
55,35.0
56,27.0
57,16.0
58,14.0
59,29.0
60,16.0
61,14.0
62,43.0
63,11.0
64,33.0
65,9.0
66,21.0
67,16.0
68,23.0
69,9.0
70,17.0
71,28.0
72,14.0
73,16.0
74,31.0
75,20.0
76,10.0
77,18.0
78,19.0
79,24.0
80,34.0
81,17.0
82,30.0
83,15.0
84,29.0
85,15.0
86,31.0
87,20.0
88,16.0
89,58.0
90,11.0
91,33.0
92,12.0
93,20.0
94,23.0
95,31.0
96,8.0
97,24.0
98,15.0
99,33.0
100,21.0
101,26.0
102,13.0
103,21.0
104,18.0
105,26.0
106,14.0
107,28.0
108,42.0
109,26.0
110,15.0
111,18.0
112,35.0
113,18.0
114,13.0
115,21.0
116,19.0
117,13.0
118,11.0
119,12.0
120,20.0
121,18.0
122,18.0
123,9.0
124,55.0
125,46.0
126,16.0
127,13.0
128,12.0
129,23.0
130,24.0
131,52.0
132,25.0
133,11.0
134,34.0
135,9.0
136,14.0
137,17.0
138,13.0
139,39.0
140,31.0
141,26.0
142,27.0
143,13.0
144,24.0
145,19.0
146,24.0
147,12.0
148,46.0
149,11.0
150,9.0
151,24.0
152,13.0
153,63.0
154,13.0
155,13.0
156,30.0
157,16.0
158,20.0
159,14.0
160,33.0
161,14.0
162,41.0
163,16.0
164,20.0
165,23.0
166,16.0
167,26.0
168,21.0
169,11.0
170,21.0
171,24.0
172,20.0
173,18.0
174,11.0
175,16.0
176,38.0
177,21.0
178,26.0
179,32.0
180,23.0
181,15.0
182,18.0
183,72.0
184,43.0
185,10.0
186,20.0
187,14.0
188,19.0
189,31.0
190,55.0
191,18.0
192,16.0
193,27.0
194,29.0
195,12.0
196,21.0
197,21.0
198,14.0
199,26.0
200,25.0
201,14.0
202,18.0
203,23.0
204,16.0
205,13.0
206,15.0
207,16.0
208,16.0
209,22.0
210,15.0
211,15.0
212,33.0
213,11.0
214,13.0
215,19.0
216,29.0
217,52.0
218,12.0
219,40.0
220,21.0
221,19.0
222,24.0
223,11.0
224,27.0
225,24.0
226,25.0
227,25.0
228,13.0
229,26.0
230,30.0
231,18.0
232,38.0
233,23.0
234,29.0
235,21.0
236,11.0
237,34.0
238,34.0
239,17.0
240,14.0
241,20.0
242,47.0
243,21.0
244,16.0
245,21.0
246,15.0
247,11.0
248,17.0
249,19.0
250,16.0
251,27.0
252,10.0
253,14.0
254,28.0
255,23.0
256,11.0
257,17.0
258,29.0
259,10.0
260,17.0
261,44.0
262,24.0
263,41.0
264,19.0
265,16.0
266,20.0
267,34.0
268,15.0
269,39.0
270,22.0
271,20.0
272,22.0
273,33.0
274,24.0
275,28.0
276,10.0
277,18.0
278,12.0
279,21.0
280,12.0
281,17.0
282,31.0
283,15.0
284,17.0
285,22.0
286,23.0
287,33.0
288,25.0
289,16.0
290,22.0
291,16.0
292,35.0
293,19.0
294,26.0
295,16.0
296,30.0
297,11.0
298,29.0
299,37.0
300,25.0
301,19.0
302,32.0
303,19.0
304,12.0
305,16.0
306,29.0
307,19.0
308,16.0
309,18.0
310,37.0
311,17.0
312,43.0
313,11.0
314,28.0
315,16.0
316,54.0
317,15.0
318,15.0
319,43.0
320,27.0
321,48.0
322,26.0
323,10.0
324,40.0
325,22.0
326,12.0
327,13.0
328,14.0
329,43.0
330,13.0
331,17.0
332,32.0
333,27.0
334,18.0
335,29.0
336,14.0
337,30.0
338,14.0
339,26.0
340,14.0
341,22.0
342,23.0
343,15.0
344,20.0
345,37.0
346,52.0
347,10.0
348,25.0
349,11.0
350,38.0
351,21.0
352,14.0
353,59.0
354,11.0
355,17.0
356,30.0
357,37.0
358,17.0
359,12.0
360,14.0
361,37.0
362,13.0
363,21.0
364,11.0
365,25.0
366,26.0
367,24.0
368,18.0
369,34.0
370,28.0
371,28.0
372,16.0
373,53.0
374,20.0
375,21.0
376,27.0
377,8.0
378,13.0
379,24.0
380,24.0
381,9.0
382,27.0
383,15.0
384,11.0
385,31.0
386,19.0
387,12.0
388,11.0
389,14.0
390,29.0
391,30.0
392,16.0
393,27.0
394,17.0
395,28.0
396,26.0
397,11.0
398,18.0
399,17.0
400,93.0
401,17.0
402,11.0
403,45.0
404,37.0
405,64.0
406,28.0
407,13.0
408,12.0
409,26.0
410,19.0
411,23.0
412,11.0
413,38.0
414,20.0
415,13.0
416,15.0
417,14.0
418,21.0
419,58.0
420,13.0
421,34.0
422,16.0
423,12.0
424,10.0
425,19.0
426,10.0
427,40.0
428,25.0
429,25.0
430,45.0
431,22.0
432,28.0
433,14.0
434,11.0
435,17.0
436,15.0
437,27.0
438,36.0
439,22.0
440,11.0
441,13.0
442,16.0
443,37.0
444,10.0
445,11.0
446,17.0
447,35.0
448,11.0
449,22.0
450,26.0
451,14.0
452,31.0
453,19.0
454,12.0
455,25.0
456,15.0
457,12.0
458,18.0
459,17.0
460,16.0
461,22.0
462,13.0
463,14.0
464,62.0
465,13.0
466,12.0
467,34.0
468,22.0
469,29.0
470,14.0
471,10.0
472,13.0
473,14.0
474,22.0
475,30.0
476,13.0
477,18.0
478,17.0
479,24.0
480,19.0
481,19.0
482,23.0
483,11.0
484,19.0
485,17.0
486,26.0
487,17.0
488,23.0
489,14.0
490,15.0
491,13.0
492,15.0
493,12.0
494,13.0
495,13.0
496,14.0
497,13.0
498,15.0
499,20.0
500,11.0
501,30.0
502,14.0
503,21.0
504,24.0
505,20.0
506,14.0
507,46.0
508,35.0
509,54.0
510,23.0
511,25.0
512,15.0
513,19.0
514,12.0
515,13.0
516,15.0
517,83.0
518,26.0
519,16.0
520,44.0
521,12.0
522,31.0
523,24.0
524,11.0
525,17.0
526,17.0
527,10.0
528,16.0
529,15.0
530,33.0
531,25.0
532,15.0
533,16.0
534,13.0
535,17.0
536,23.0
537,16.0
538,32.0
539,20.0
540,12.0
541,22.0
542,21.0
543,16.0
544,38.0
545,13.0
546,13.0
547,20.0
548,13.0
549,22.0
550,22.0
551,28.0
552,22.0
553,20.0
554,29.0
555,47.0
556,20.0
557,16.0
558,40.0
559,21.0
560,24.0
561,32.0
562,18.0
563,21.0
564,22.0
565,21.0
566,17.0
567,11.0
568,15.0
569,14.0
570,18.0
571,18.0
572,42.0
573,15.0
574,21.0
575,17.0
576,33.0
577,24.0
578,15.0
579,15.0
580,24.0
581,18.0
582,14.0
583,12.0
584,43.0
585,15.0
586,39.0
587,18.0
588,41.0
589,17.0
590,13.0
591,26.0
592,18.0
593,56.0
594,13.0
595,16.0
596,56.0
597,10.0
598,24.0
599,13.0
600,60.0
601,39.0
602,13.0
603,44.0
604,28.0
605,15.0
606,34.0
607,56.0
608,16.0
609,17.0
610,27.0
611,14.0
612,11.0
613,11.0
614,26.0
615,21.0
616,21.0
617,30.0
618,26.0
619,30.0
620,33.0
621,27.0
622,28.0
623,22.0
624,27.0
625,9.0
626,14.0
627,50.0
628,12.0
629,9.0
630,66.0
631,21.0
632,9.0
633,27.0
634,16.0
635,9.0
636,13.0
637,29.0
638,32.0
639,13.0
640,15.0
641,25.0
642,24.0
643,17.0
644,16.0
645,11.0
646,17.0
647,18.0
648,12.0
649,13.0
650,25.0
651,45.0
652,19.0
653,21.0
654,32.0
655,20.0
656,10.0
657,16.0
658,27.0
659,15.0
660,13.0
661,21.0
662,30.0
663,17.0
664,22.0
665,10.0
666,26.0
667,36.0
668,17.0
669,10.0
670,18.0
671,31.0
672,36.0
673,16.0
674,16.0
675,28.0
676,28.0
677,25.0
678,54.0
679,12.0
680,37.0
681,42.0
682,23.0
683,39.0
684,25.0
685,12.0
686,16.0
687,20.0
688,17.0
689,14.0
690,18.0
691,9.0
692,13.0
693,29.0
694,33.0
695,19.0
696,12.0
697,19.0
698,11.0
699,17.0
700,27.0
701,54.0
702,28.0
703,17.0
704,11.0
705,17.0
706,19.0
707,14.0
708,38.0
709,18.0
710,26.0
711,15.0
712,30.0
713,13.0
714,16.0
715,18.0
716,18.0
717,25.0
718,12.0
719,12.0
720,11.0
721,14.0
722,12.0
723,21.0
724,9.0
725,18.0
726,40.0
727,12.0
728,60.0
729,21.0
730,15.0
731,16.0
732,44.0
733,12.0
734,20.0
735,36.0
736,11.0
