episode_R,Reward Evolution
0,13.0
1,42.0
2,32.0
3,15.0
4,18.0
5,31.0
6,11.0
7,32.0
8,20.0
9,13.0
10,41.0
11,26.0
12,22.0
13,17.0
14,21.0
15,31.0
16,10.0
17,31.0
18,14.0
19,20.0
20,14.0
21,27.0
22,13.0
23,13.0
24,42.0
25,43.0
26,20.0
27,28.0
28,20.0
29,68.0
30,15.0
31,14.0
32,27.0
33,13.0
34,18.0
35,13.0
36,15.0
37,10.0
38,22.0
39,20.0
40,50.0
41,44.0
42,23.0
43,13.0
44,40.0
45,27.0
46,27.0
47,16.0
48,15.0
49,19.0
50,13.0
51,21.0
52,16.0
53,12.0
54,30.0
55,15.0
56,22.0
57,27.0
58,22.0
59,70.0
60,25.0
61,17.0
62,21.0
63,13.0
64,14.0
65,10.0
66,13.0
67,15.0
68,16.0
69,20.0
70,19.0
71,15.0
72,14.0
73,36.0
74,18.0
75,10.0
76,14.0
77,17.0
78,11.0
79,16.0
80,36.0
81,18.0
82,66.0
83,46.0
84,18.0
85,28.0
86,24.0
87,12.0
88,39.0
89,13.0
90,15.0
91,31.0
92,18.0
93,15.0
94,11.0
95,30.0
96,22.0
97,11.0
98,11.0
99,16.0
100,12.0
101,13.0
102,29.0
103,18.0
104,26.0
105,16.0
106,9.0
107,45.0
108,39.0
109,13.0
110,15.0
111,18.0
112,18.0
113,10.0
114,11.0
115,19.0
116,16.0
117,16.0
118,64.0
119,14.0
120,16.0
121,57.0
122,17.0
123,12.0
124,18.0
125,16.0
126,17.0
127,15.0
128,11.0
129,26.0
130,34.0
131,16.0
132,19.0
133,14.0
134,39.0
135,12.0
136,14.0
137,20.0
138,17.0
139,15.0
140,17.0
141,14.0
142,37.0
143,12.0
144,24.0
145,27.0
146,20.0
147,13.0
148,11.0
149,17.0
150,40.0
151,14.0
152,14.0
153,21.0
154,14.0
155,17.0
156,22.0
157,10.0
158,44.0
159,15.0
160,27.0
161,17.0
162,18.0
163,25.0
164,10.0
165,19.0
166,27.0
167,15.0
168,15.0
169,19.0
170,33.0
171,11.0
172,21.0
173,12.0
174,13.0
175,24.0
176,20.0
177,18.0
178,21.0
179,29.0
180,13.0
181,20.0
182,15.0
183,33.0
184,39.0
185,14.0
186,17.0
187,27.0
188,18.0
189,11.0
190,32.0
191,24.0
192,21.0
193,20.0
194,10.0
195,14.0
196,24.0
197,20.0
198,16.0
199,50.0
200,19.0
201,12.0
202,18.0
203,12.0
204,42.0
205,13.0
206,18.0
207,23.0
208,23.0
209,9.0
210,11.0
211,38.0
212,13.0
213,12.0
214,24.0
215,10.0
216,63.0
217,40.0
218,24.0
