episode_R,Reward Evolution
0,66.0
1,12.0
2,11.0
3,38.0
4,21.0
5,23.0
6,14.0
7,41.0
8,25.0
9,11.0
10,23.0
11,12.0
12,19.0
13,30.0
14,34.0
15,10.0
16,18.0
17,19.0
18,12.0
19,27.0
20,28.0
21,18.0
22,22.0
23,20.0
24,11.0
25,54.0
26,32.0
27,12.0
28,62.0
29,39.0
30,17.0
31,27.0
32,10.0
33,19.0
34,14.0
35,17.0
36,14.0
37,31.0
38,9.0
39,45.0
40,14.0
41,19.0
42,41.0
43,15.0
44,33.0
45,9.0
46,15.0
47,10.0
48,23.0
49,14.0
50,11.0
51,41.0
52,22.0
53,11.0
54,17.0
55,24.0
56,38.0
57,39.0
58,34.0
59,17.0
60,21.0
61,20.0
62,59.0
63,16.0
64,9.0
65,38.0
66,11.0
67,20.0
68,25.0
69,15.0
70,15.0
71,10.0
72,22.0
73,10.0
74,17.0
75,13.0
76,9.0
77,19.0
78,23.0
79,18.0
80,12.0
81,30.0
82,39.0
83,14.0
84,14.0
85,37.0
86,14.0
87,19.0
88,19.0
89,15.0
90,11.0
91,11.0
92,12.0
93,28.0
94,27.0
95,40.0
96,33.0
97,44.0
98,19.0
99,10.0
100,11.0
101,21.0
102,48.0
103,17.0
104,25.0
105,33.0
106,26.0
107,59.0
108,12.0
109,12.0
110,21.0
111,44.0
112,18.0
113,18.0
114,32.0
115,38.0
116,17.0
117,39.0
118,20.0
119,19.0
120,31.0
121,23.0
122,15.0
123,29.0
124,19.0
125,15.0
126,15.0
127,55.0
128,10.0
129,14.0
130,18.0
131,16.0
132,31.0
133,32.0
134,23.0
135,29.0
136,55.0
137,24.0
138,24.0
139,55.0
140,38.0
141,32.0
142,46.0
143,41.0
144,25.0
145,30.0
146,13.0
147,21.0
148,30.0
149,34.0
150,20.0
151,42.0
152,36.0
153,21.0
154,28.0
155,11.0
156,19.0
157,14.0
158,23.0
159,42.0
160,22.0
161,44.0
162,91.0
163,36.0
164,17.0
165,45.0
166,17.0
167,98.0
168,61.0
169,49.0
170,76.0
171,40.0
172,26.0
173,19.0
174,48.0
175,57.0
176,63.0
177,19.0
178,19.0
179,27.0
180,25.0
181,77.0
182,39.0
183,27.0
184,35.0
185,14.0
186,21.0
187,25.0
188,19.0
189,55.0
190,25.0
191,36.0
192,55.0
193,47.0
194,63.0
195,32.0
196,11.0
197,35.0
198,82.0
199,25.0
200,23.0
201,89.0
202,17.0
203,37.0
204,63.0
205,63.0
206,20.0
207,20.0
208,14.0
209,22.0
210,18.0
211,32.0
212,20.0
213,13.0
214,21.0
215,58.0
216,21.0
217,13.0
218,46.0
219,61.0
220,25.0
221,51.0
222,16.0
223,118.0
224,21.0
225,109.0
226,14.0
227,145.0
228,45.0
229,18.0
230,56.0
231,18.0
232,29.0
233,13.0
234,81.0
235,48.0
236,90.0
237,62.0
238,77.0
239,40.0
240,10.0
241,22.0
242,38.0
243,67.0
244,71.0
245,12.0
246,45.0
247,16.0
248,61.0
249,25.0
250,20.0
251,95.0
252,12.0
253,14.0
254,12.0
255,28.0
256,60.0
257,74.0
258,66.0
259,21.0
260,63.0
261,78.0
262,45.0
263,15.0
264,13.0
265,17.0
266,19.0
267,141.0
268,21.0
269,18.0
270,59.0
271,51.0
272,11.0
273,13.0
274,20.0
275,46.0
276,14.0
277,28.0
278,37.0
279,29.0
280,66.0
281,17.0
282,34.0
283,41.0
284,34.0
285,102.0
286,54.0
287,26.0
288,42.0
289,105.0
290,19.0
291,15.0
292,15.0
293,12.0
294,64.0
295,28.0
296,9.0
297,9.0
298,61.0
299,28.0
300,87.0
301,75.0
302,53.0
303,74.0
304,35.0
305,17.0
306,67.0
307,34.0
308,32.0
309,21.0
310,40.0
311,19.0
312,10.0
313,28.0
314,21.0
315,12.0
316,47.0
317,22.0
318,80.0
319,57.0
320,84.0
321,19.0
322,65.0
323,37.0
324,83.0
325,53.0
326,61.0
327,38.0
328,101.0
329,22.0
330,12.0
331,16.0
332,94.0
333,14.0
334,40.0
335,15.0
336,27.0
337,27.0
338,18.0
339,19.0
340,12.0
341,41.0
342,11.0
343,14.0
344,121.0
345,46.0
346,18.0
347,33.0
348,201.0
349,131.0
350,23.0
351,40.0
352,39.0
353,32.0
354,13.0
355,56.0
356,73.0
357,61.0
358,100.0
359,77.0
360,16.0
361,34.0
362,27.0
363,63.0
364,19.0
365,20.0
366,77.0
367,68.0
